product_id,site_id,company_id,region_id,product_group_id,snapshot_date,mean,p50,plan_type,forecast_start_dttm,forecast_end_dttm
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,304,304,Sales Plan,2026-07-07T00:00:00.000Z,2026-07-13T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,222,222,Sales Plan,2026-07-14T00:00:00.000Z,2026-07-20T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,373,373,Sales Plan,2026-07-21T00:00:00.000Z,2026-07-27T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,173,173,Sales Plan,2026-07-28T00:00:00.000Z,2026-08-03T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,369,369,Sales Plan,2026-08-04T00:00:00.000Z,2026-08-10T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,300,300,Sales Plan,2026-08-11T00:00:00.000Z,2026-08-17T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,330,330,Sales Plan,2026-08-18T00:00:00.000Z,2026-08-24T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,212,212,Sales Plan,2026-08-25T00:00:00.000Z,2026-08-31T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,478,478,Sales Plan,2026-09-01T00:00:00.000Z,2026-09-07T00:00:00.000Z
PROD-001,SITE-DC-CENTRAL,ACD-COMPANY,SCN_RESERVED_NO_VALUE_PROVIDED,SCN_RESERVED_NO_VALUE_PROVIDED,2026-07-05T00:00:00.000Z,472,472,Sales Plan,2026-09-08T00:00:00.000Z,2026-09-14T00:00:00.000Z
