id,product_id,cust_order_id,ship_from_site_id,ship_to_site_id,company_id,init_quantity_requested,quantity_promised,quantity_delivered,final_quantity_requested,status,requested_delivery_date,promised_delivery_date,actual_delivery_date,order_date
1,PROD-001,ORD-0000001,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,19,19,19,19,closed,2024-07-06T00:00:00.000Z,2024-07-03T00:00:00.000Z,2024-07-03T00:00:00.000Z,2024-07-01T00:00:00.000Z
2,PROD-001,ORD-0000002,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,36,36,36,36,closed,2024-07-04T00:00:00.000Z,2024-07-05T00:00:00.000Z,2024-07-05T00:00:00.000Z,2024-07-02T00:00:00.000Z
3,PROD-001,ORD-0000003,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,54,54,54,54,closed,2024-07-10T00:00:00.000Z,2024-07-11T00:00:00.000Z,2024-07-13T00:00:00.000Z,2024-07-06T00:00:00.000Z
4,PROD-001,ORD-0000004,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,10,10,10,10,closed,2024-07-12T00:00:00.000Z,2024-07-12T00:00:00.000Z,2024-07-13T00:00:00.000Z,2024-07-07T00:00:00.000Z
5,PROD-001,ORD-0000005,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,57,57,57,57,closed,2024-07-13T00:00:00.000Z,2024-07-14T00:00:00.000Z,2024-07-16T00:00:00.000Z,2024-07-09T00:00:00.000Z
6,PROD-001,ORD-0000006,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,31,31,31,31,closed,2024-07-18T00:00:00.000Z,2024-07-16T00:00:00.000Z,2024-07-17T00:00:00.000Z,2024-07-14T00:00:00.000Z
7,PROD-001,ORD-0000007,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,21,21,21,21,closed,2024-07-29T00:00:00.000Z,2024-07-28T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-07-25T00:00:00.000Z
8,PROD-001,ORD-0000008,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,39,39,39,39,closed,2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-07-26T00:00:00.000Z
9,PROD-001,ORD-0000009,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,26,26,26,26,closed,2024-07-31T00:00:00.000Z,2024-07-31T00:00:00.000Z,2024-08-01T00:00:00.000Z,2024-07-27T00:00:00.000Z
10,PROD-001,ORD-0000010,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,14,14,14,14,closed,2024-08-03T00:00:00.000Z,2024-08-03T00:00:00.000Z,2024-08-05T00:00:00.000Z,2024-07-31T00:00:00.000Z
11,PROD-001,ORD-0000011,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,18,18,18,18,closed,2024-08-06T00:00:00.000Z,2024-08-08T00:00:00.000Z,2024-08-08T00:00:00.000Z,2024-08-05T00:00:00.000Z
12,PROD-001,ORD-0000012,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,26,26,26,26,closed,2024-08-09T00:00:00.000Z,2024-08-12T00:00:00.000Z,2024-08-14T00:00:00.000Z,2024-08-07T00:00:00.000Z
13,PROD-001,ORD-0000013,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,29,29,29,29,closed,2024-08-14T00:00:00.000Z,2024-08-11T00:00:00.000Z,2024-08-11T00:00:00.000Z,2024-08-09T00:00:00.000Z
14,PROD-001,ORD-0000014,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,53,53,53,53,closed,2024-08-11T00:00:00.000Z,2024-08-14T00:00:00.000Z,2024-08-16T00:00:00.000Z,2024-08-10T00:00:00.000Z
15,PROD-001,ORD-0000015,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,54,54,54,54,closed,2024-08-14T00:00:00.000Z,2024-08-14T00:00:00.000Z,2024-08-16T00:00:00.000Z,2024-08-12T00:00:00.000Z
16,PROD-001,ORD-0000016,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,60,60,60,60,closed,2024-08-17T00:00:00.000Z,2024-08-16T00:00:00.000Z,2024-08-18T00:00:00.000Z,2024-08-14T00:00:00.000Z
17,PROD-001,ORD-0000017,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,33,33,33,33,closed,2024-08-20T00:00:00.000Z,2024-08-20T00:00:00.000Z,2024-08-22T00:00:00.000Z,2024-08-15T00:00:00.000Z
18,PROD-001,ORD-0000018,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,41,41,41,41,closed,2024-08-19T00:00:00.000Z,2024-08-18T00:00:00.000Z,2024-08-19T00:00:00.000Z,2024-08-16T00:00:00.000Z
19,PROD-001,ORD-0000019,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,19,19,19,19,closed,2024-08-20T00:00:00.000Z,2024-08-22T00:00:00.000Z,2024-08-24T00:00:00.000Z,2024-08-17T00:00:00.000Z
20,PROD-001,ORD-0000020,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,37,37,37,37,closed,2024-08-26T00:00:00.000Z,2024-08-26T00:00:00.000Z,2024-08-27T00:00:00.000Z,2024-08-21T00:00:00.000Z
21,PROD-001,ORD-0000021,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,38,38,38,38,closed,2024-08-26T00:00:00.000Z,2024-08-26T00:00:00.000Z,2024-08-27T00:00:00.000Z,2024-08-24T00:00:00.000Z
22,PROD-001,ORD-0000022,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,11,11,11,11,closed,2024-08-29T00:00:00.000Z,2024-08-30T00:00:00.000Z,2024-08-31T00:00:00.000Z,2024-08-25T00:00:00.000Z
23,PROD-001,ORD-0000023,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,26,26,26,26,closed,2024-08-31T00:00:00.000Z,2024-08-30T00:00:00.000Z,2024-08-31T00:00:00.000Z,2024-08-27T00:00:00.000Z
24,PROD-001,ORD-0000024,SITE-DC-CENTRAL,SITE-STORE-MAIN,ACD-COMPANY,10,10,10,10,closed,2024-09-02T00:00:00.000Z,2024-09-01T00:00:00.000Z,2024-09-03T00:00:00.000Z,2024-08-28T00:00:00.000Z
